element	a1	b1	a2	b2	a3	b3	a4	b4	c
C	1.8563	0.4124	1.5280	10.0750	0.3173	20.3260	2.3965	30.7790	-0.1096
O	1.3721	0.3870	2.0624	5.5416	3.0566	12.3320	1.0743	29.8800	0.4348
Si	3.7464	1.3104	4.2959	2.8652	3.5786	36.3701	0.9544	97.9643	1.4345
H2O	1.6607	0.3042	1.6277	5.1864	3.7734	12.7450	2.7903	30.7880	0.1444
Diamond	1.8563	0.4124	1.5280	10.0750	0.3173	20.3260	2.3965	30.7790	-0.1096
Ar	5.9435	0.7504	1.8388	0.9840	4.7067	11.9723	4.5353	27.3922	0.9665
He	0.1440	1.0083	0.7428	3.4564	0.7326	9.6977	0.3616	20.1280	0.0176
Li	0.8488	1.1522	1.0590	4.3791	-0.2016	50.0710	1.2398	100.2600	0.0408
Na	1.9290	0.8307	4.1307	4.3690	2.7662	7.5375	1.2304	99.9568	0.9009
P	5.6374	1.4781	2.1092	2.4033	4.3964	28.6581	1.2380	67.9750	1.6249
K	7.2013	0.8858	8.9378	14.1870	-1.4157	50.7998	2.3835	101.6003	1.8417

