element Z       a1      b1      a2      b2      a3      b3      a4      b4       c          M       K       L
C       6       1.8563  0.4124  1.528   10.075  0.3173  20.326  2.3965  30.779   -0.1096    0.4972  1.8438  7.8917
O       8       1.3721  0.387   2.0624  5.5416  3.0566  12.332  1.0743  29.88    0.4348     0.3933  1.2843  32.682
Si      14      3.7464  1.3104  4.2959  2.8652  3.5786  36.3701 0.9544  97.9643  1.4345     0.5254  1.1646  14.3259
H2O     10      1.6607  0.3042  1.6277  5.1864  3.7734  12.745  2.7903  30.788   0.1444     0.4296  1.6246  35.6472
Diamond 6.06    1.8563  0.4124  1.528   10.075  0.3173  20.326  2.3965  30.779   -0.1096    0.4972  1.8438  7.8917
Ar      18      5.9435  0.7504  1.8388  0.984   4.7067  11.9723 4.5353  27.3922  0.9665     0.5302  1.0091  19.3321
He      2       0.144   1.0083  0.7428  3.4564  0.7326  9.6977  0.3616  20.128   0.0176     0.0045  4.6335  10.2456
Li      3       0.8488  1.1522  1.059   4.3791  -0.2016 50.071  1.2398  100.26   0.0408     1.7499  6.0432  9.511
Na      11      1.929   0.8307  4.1307  4.369   2.7662  7.5375  1.2304  99.9568  0.9009     0.4934  1.2928  22.5601
P       15      5.6374  1.4781  2.1092  2.4033  4.3964  28.6581 1.238   67.975   1.6249     0.5247  1.1132  17.0741
K       19      7.2013  0.8858  8.9378  14.187  -1.4157 50.7998 2.3835  101.6003 1.8417     0.5265  0.9717  19.6124
Bi      83      33.3689 0.704   12.951  2.9238  16.5877 8.7937  6.4692  48.0093 13.5782     1.0298  0.5477  1.6001
